state,s_curs,a_curs,curs,stateT,dot,curPrd,Prdflat
4,0.0,0.0,1398,0,1398,1398,1398.0
4,0.0,0.0,1398,0,1401,1398,1348.0
3,0.0,0.0,1398,-1,1430,1298,1298.0
4,0.0,0.0,1398,0,1456,1398,1298.0
3,0.0,0.0,1398,-1,1477,1298,1298.0
4,0.0,0.0,1398,0,1493,1398,1298.0
3,0.0,0.0,1398,-1,1502,1298,1298.0
4,0.0,0.0,1398,0,1503,1398,1298.0
3,0.0,0.0,1398,-1,1498,1298,1298.0
4,0.0,0.0,1398,0,1485,1398,1448.0
6,0.0,0.0,1398,2,1464,1598,1598.0
4,0.0,0.0,1398,0,1436,1398,1445.0
3,-6.0,-6.0,1392,-1,1400,1292,1292.0
4,-3.0,-3.0,1389,0,1358,1389,1189.5
1,-2.0,4.0,1387,-3,1309,1087,1087.0
4,-2.0,1.0,1385,0,1254,1385,1185.0
3,-2.0,0.0,1383,-1,1194,1283,1283.0
4,0.0,2.0,1383,0,1130,1383,1283.0
3,0.0,2.0,1383,-1,1064,1283,1283.0
4,5.0,5.0,1388,0,994,1388,1290.0
3,9.0,9.0,1397,-1,925,1297,1297.0
4,20.0,15.0,1417,0,856,1417,1412.5
5,11.0,2.0,1428,1,787,1528,1528.0
4,1.0,-19.0,1429,0,722,1429,1628.5
7,0.0,-11.0,1429,3,661,1729,1729.0
4,-19.0,-20.0,1410,0,604,1410,1587.5
5,-64.0,-64.0,1346,1,554,1446,1446.0
4,-177.0,-158.0,1169,0,511,1169,1055.5
1,-204.0,-140.0,965,-3,475,665,665.0
4,-84.0,93.0,881,0,446,881,589.0
1,-68.0,136.0,813,-3,426,513,513.0
4,-32.0,52.0,781,0,414,781,540.5
2,-13.0,55.0,768,-2,411,568,568.0
4,-8.0,24.0,760,0,416,760,511.0
1,-6.0,7.0,754,-3,428,454,454.0
4,-6.0,2.0,748,0,449,748,547.0
3,-8.0,-2.0,740,-1,475,640,640.0
4,-18.0,-12.0,722,0,507,722,715.0
5,-32.0,-24.0,690,1,544,790,790.0
4,-22.0,-4.0,668,0,585,668,872.0
7,-14.0,18.0,654,3,629,954,954.0
4,-1.0,21.0,653,0,674,653,953.5
7,0.0,14.0,653,3,719,953,953.0
4,0.0,1.0,653,0,763,653,953.0
7,0.0,0.0,653,3,805,953,953.0
4,1.0,1.0,654,0,844,654,918.0
6,29.0,29.0,683,2,879,883,883.0
4,105.0,104.0,788,0,909,788,871.0
3,171.0,142.0,959,-1,933,859,859.0
4,107.0,2.0,1066,0,951,1066,1182.0
7,139.0,-32.0,1205,3,963,1505,1505.0
4,72.0,-35.0,1277,0,968,1277,1349.0
3,16.0,-123.0,1293,-1,966,1193,1193.0
4,0.0,-72.0,1293,0,958,1293,1183.5
3,-19.0,-35.0,1274,-1,944,1174,1174.0
4,-34.0,-34.0,1240,0,924,1240,1028.5
1,-57.0,-38.0,1183,-3,898,883,883.0
4,-78.0,-44.0,1105,0,869,1105,815.5
1,-57.0,0.0,1048,-3,836,748,748.0
4,-63.0,15.0,985,0,801,985,723.0
2,-87.0,-30.0,898,-2,765,698,698.0
4,-70.0,-7.0,828,0,728,828,695.0
3,-36.0,51.0,792,-1,693,692,692.0
4,-45.0,25.0,747,0,659,747,752.0
5,-35.0,1.0,712,1,628,812,812.0
4,-24.0,21.0,688,0,601,688,778.0
5,-44.0,-9.0,644,1,579,744,744.0
4,-45.0,-21.0,599,0,563,599,803.0
7,-37.0,7.0,562,3,553,862,862.0
4,-46.0,-1.0,516,0,550,516,769.5
6,-39.0,-2.0,477,2,554,677,677.0
4,-12.0,34.0,465,0,566,465,621.0
5,0.0,39.0,465,1,585,565,565.0
4,0.0,12.0,465,0,611,465,465.0
3,0.0,0.0,465,-1,645,365,365.0
4,0.0,0.0,465,0,686,465,315.0
2,0.0,0.0,465,-2,733,265,265.0
4,7.0,7.0,472,0,785,472,278.0
2,19.0,19.0,491,-2,842,291,291.0
4,46.0,39.0,537,0,904,537,386.0
3,44.0,25.0,581,-1,967,481,481.0
4,53.0,7.0,634,0,1033,634,540.5
3,66.0,22.0,700,-1,1100,600,600.0
4,113.0,60.0,813,0,1167,813,685.5
3,58.0,-8.0,871,-1,1232,771,771.0
4,26.0,-87.0,897,0,1295,897,902.5
5,37.0,-21.0,934,1,1354,1034,1034.0
4,28.0,2.0,962,0,1410,962,1169.5
7,43.0,6.0,1005,3,1463,1305,1305.0
4,30.0,2.0,1035,0,1505,1035,1358.0
7,76.0,33.0,1111,3,1544,1411,1411.0
4,45.0,15.0,1156,0,1575,1156,1393.0
6,19.0,-57.0,1175,2,1599,1375,1375.0
4,26.0,-19.0,1201,0,1615,1201,1241.0
3,6.0,-13.0,1207,-1,1623,1107,1107.0
4,0.0,-26.0,1207,0,1623,1207,1057.0
2,0.0,-6.0,1207,-2,1615,1007,1007.0
4,0.0,0.0,1207,0,1600,1207,957.0
1,0.0,0.0,1207,-3,1577,907,907.0
4,15.0,15.0,1222,0,1547,1222,991.5
2,54.0,54.0,1276,-2,1512,1076,1076.0
4,60.0,45.0,1336,0,1470,1336,1071.5
1,31.0,-23.0,1367,-3,1423,1067,1067.0
4,21.0,-39.0,1388,0,1372,1388,1127.5
2,0.0,-31.0,1388,-2,1318,1188,1188.0
4,-3.0,-24.0,1385,0,1261,1385,1235.5
3,-2.0,-2.0,1383,-1,1202,1283,1283.0
4,-1.0,2.0,1382,0,1142,1382,1281.5
3,-2.0,0.0,1380,-1,1082,1280,1280.0
4,-7.0,-6.0,1373,0,1022,1373,1258.5
3,-36.0,-34.0,1337,-1,965,1237,1237.0
4,-82.0,-75.0,1255,0,908,1255,1257.0
5,-78.0,-42.0,1177,1,856,1277,1277.0
